id,name,degree,peel,diversity,betweenness,pagerank
526,Owen,10,6,1.470808476,0.000804616,0.000895542
527,Owen Merryweather,1,1,0,0,0.000228186
528,Oznak zo Pahl,2,2,0.693147181,0,0.000327679
529,Palla,2,2,0.693147181,0,0.0002796
530,Patchface,4,4,0.562335145,0,0.000489713
531,Pate (novice),7,4,0.682908105,0.010041506,0.002498661
532,Pate (Old),1,1,0,0,0.000231597
533,Pate (whipping boy),1,1,0,0,0.000223331
534,Patrek of Kings Mountain,4,3,1.039720771,1.06E-06,0.000480282
535,Paxter Redwyne,6,6,1.329661349,0.000772814,0.000604391
536,Penny,7,4,1.475076311,0.000279064,0.001225714
537,Perwyn Frey,2,2,0.693147181,0,0.000324745
538,Petyr Baelish,47,13,1.984776869,0.025898583,0.008391054
539,Petyr Frey,2,2,0.693147181,1.06E-06,0.000294765
540,Pia,4,3,1.039720771,0.000130851,0.000463067
541,Podrick Payne,11,6,1.666332585,0.003390512,0.002239123
542,Polliver,14,12,0.89820534,8.96E-05,0.001543562
543,Pono,4,4,1.039720771,4.84E-05,0.000349678
544,Porridge,3,3,1.098612289,0,0.000402686
545,Porther,1,1,0,0,0.000227473
546,Poxy Tym,1,1,0,0,0.000216665
547,Praed,1,1,0,0,0.000220809
548,Prendahl na Ghezn,2,2,0.693147181,0,0.000518784
549,Preston Greenfield,2,2,0,0,0.000244527
550,Puckens,2,1,0.693147181,0.002515723,0.000590127
551,Pyat Pree,2,2,0.693147181,0,0.000503741
552,Pycelle,27,13,1.591968682,0.007406401,0.003931511
553,Pyg,4,4,1.039720771,2.85E-06,0.000579416
554,Pylos,6,5,1.011404265,3.91E-06,0.001241409
555,Pypar,16,8,1.244016696,0.000234447,0.002813027
556,Qarl the Maid,3,3,0.636514168,0,0.000617043
557,Qavo Nogarys,3,3,1.098612289,2.88E-05,0.000362687
558,Qezza,5,3,1.33217904,0.000106433,0.000796912
559,Qhorin Halfhand,14,6,1.673118363,0.002814466,0.00237447
560,Qotho,7,5,1.277034259,2.97E-05,0.001078742
561,Quaithe,1,1,0,0,0.000318185
562,Quaro,5,5,0.950270539,1.43E-06,0.000445212
563,Quellon Greyjoy,2,2,0,0,0.000366511
564,Quentyn Martell,19,7,1.721954449,0.011349668,0.00437337
565,Quhuru Mo,2,2,0.693147181,0,0.000311279
566,Quill,1,1,0,0,0.000370303
567,Qyburn,18,10,1.719477814,0.001700923,0.001629493
568,Rafford,13,12,0.690185676,4.65E-05,0.00171038
569,Ragwyle,1,1,0,0,0.000224916
570,Rakharo,10,8,0.801818553,3.22E-05,0.001214878
571,Ralf (Limper),1,1,0,0,0.000373649
572,Ralf Stonehouse,2,2,0.693147181,0,0.00036651
573,Ramsay Snow,23,9,2.002058727,0.016712732,0.004330747
574,Randyll Tarly,13,7,2.031759219,0.004472798,0.001229287
575,Rast,6,5,1.242453325,2.33E-05,0.000516994
576,Rattleshirt,11,6,1.294545166,8.27E-05,0.001746136
577,Ravella Swann,1,1,0,0,0.000263964
578,Raymun Darry,2,2,0,0,0.000299085
579,Raymun Redbeard,1,1,0,0,0.000364995
580,Raynald Westerling,3,2,0.636514168,3.21E-05,0.000432595
581,Raynard,2,1,0.693147181,0.002515723,0.000640699
582,Red Oarsman,3,2,0.636514168,0.00502511,0.000733144
583,Reek,2,2,0.693147181,0,0.000277816
584,Renly Baratheon,38,13,1.877240061,0.018923484,0.007433869
585,Rennifer Longwaters,2,1,0.693147181,0.002515723,0.000596489
586,Reznak mo Reznak,5,5,1.33217904,0,0.000782543
587,Rhaegar Frey,2,2,0.693147181,0.000632098,0.000413198
588,Rhaegar Targaryen,18,9,2.0330002,0.007841725,0.002563142
589,Rhaegel Targaryen,1,1,0,0,0.000247416
590,Rhaego,1,1,0,0,0.00024899
591,Rhaella Targaryen,2,2,0.693147181,0,0.00025335
592,Rhaenys Targaryen,2,2,0.693147181,0,0.000460117
593,Rhaenys Targaryen (daughter of Rhaegar),1,1,0,0,0.000240767
594,Ricasso,2,1,0.693147181,0.002515723,0.000683305
595,Richard Horpe,2,2,0.693147181,0,0.00037009
596,Rickard Karstark,12,8,1.676234939,0.000916443,0.001254606
597,Rickard Stark,2,2,0.693147181,6.48E-06,0.000263685
598,Rickon Stark,17,10,1.466907105,0.001981032,0.003680916
599,Robar Royce,3,3,0.636514168,5.02E-05,0.000368354
600,Robb Stark,74,13,2.380112478,0.066468427,0.017344651
601,Robert Arryn,20,8,1.877524281,0.011219033,0.002562505
602,Robert Baratheon,65,13,2.104875124,0.078227691,0.015677734
603,Robert Strong,4,4,1.386294361,3.06E-05,0.000344689
604,Robett Glover,7,5,1.549826046,0.000500339,0.000580181
605,Robin Flint,3,3,1.098612289,0,0.000333527
606,Robin Ryger,2,2,0,0,0.000316213
607,Rodrik Cassel,30,12,2.051787046,0.011062043,0.00339896
608,Rodrik Harlaw,7,3,1.004242473,0.002132001,0.001142976
609,Rodrik Sparr,2,2,0.693147181,0,0.000467438
610,Roger Ryswell,2,2,0.693147181,0,0.000321248
611,Rolfe the Dwarf,1,1,0,0,0.000250159
612,Rollam Westerling,2,2,0.693147181,0,0.000298771
613,Rolly Duckfield,8,6,1.213007566,1.35E-05,0.001381021
614,Rolph Spicer,1,1,0,0,0.00024019
615,Ronnet Connington,2,2,0.693147181,0,0.000260535
616,Roone,4,4,0,7.92E-07,0.000920016
617,Roose Bolton,28,12,1.98950834,0.005556184,0.003105126
618,Roose Ryswell,1,1,0,0,0.000221924
619,Rorge,9,5,1.522955068,0.000417866,0.001253026
620,Rory,2,2,0.693147181,0,0.000326228
621,Rosey,1,1,0,0,0.00059763
622,Roslin Frey,5,5,1.054920168,0,0.000672614
623,Rossart,1,1,0,0,0.000241434
624,Rowan,5,4,1.609437912,5.76E-05,0.000628659
625,Rugen,1,1,0,0,0.000442313
626,Rus,1,1,0,0,0.000315399
627,Ryk,4,4,0.562335145,0,0.000531352
628,Ryman Frey,12,6,1.704551445,0.001020753,0.001127589
629,Salladhor Saan,5,4,1.609437912,9.54E-06,0.001188731
630,Sallor,2,2,0.693147181,0,0.000518784
631,Samwell Tarly,44,8,1.958122578,0.041466204,0.011871965
632,Sandor Clegane,36,13,1.849112878,0.008828141,0.005438164
633,Sansa Stark,75,13,2.323459966,0.048690982,0.016291184
634,Sarella Sand,1,1,0,0,0.000246374
635,Satin,13,6,1.844621476,0.00294103,0.001724603
636,Sawane Botley,1,1,0,0,0.000260678
637,Scar,2,2,0.693147181,0,0.00032711
638,Scolera,3,3,0.636514168,0,0.000644208
639,Selwyn Tarth,1,1,0,0,0.000236456
640,Selyse Florent,19,7,1.909660422,0.005670667,0.003097164
641,Senelle,2,2,0.693147181,0,0.00029625
642,Shadd,1,1,0,0,0.000262648
643,Shadrich,2,2,0.693147181,0.000132657,0.000322764
644,Shae,13,7,1.524707393,0.000826092,0.001752541
645,Shagga,7,4,1.549826046,0.005057665,0.001493422
646,Shagwell,6,4,1.011404265,0.000199782,0.000772709
647,Sharna,4,4,0.562335145,1.58E-06,0.000380371
648,Shireen Baratheon,13,7,1.884871334,0.003259286,0.001234029
649,Shitmouth,1,1,0,0,0.000220526
650,Shortear,1,1,0,0,0.00043965
651,Shrouded Lord,1,1,0,0,0.000227292
652,Sigfryd Harlaw,2,2,0,0,0.000442543
653,Sigorn,4,3,1.386294361,5.42E-05,0.000410478
654,Simon Toyne,1,1,0,0,0.000453171
655,Skahaz mo Kandaq,12,8,1.075139324,5.94E-05,0.001829313
656,Skinner,5,4,1.33217904,0.002515723,0.000887165
657,Small Paul,6,5,0.636514168,1.19E-05,0.000776101
658,Smiling Knight,2,1,0.693147181,0.002515723,0.000724057
659,Softfoot,1,1,0,0,0.00025316
660,Soren Shieldbreaker,1,1,0,0,0.00022145
661,Sour Alyn,6,4,1.329661349,1.41E-05,0.000979725
662,Spare Boot,6,5,1.011404265,1.27E-06,0.000527414
663,Spotted Cat,6,4,1.242453325,0.003356216,0.000919978
664,Squint,3,2,1.098612289,7.39E-06,0.000515248
665,Squirrel,4,4,1.386294361,9.19E-06,0.000486326
666,Stafford Lannister,4,4,0.562335145,4.89E-05,0.000332016
667,Stannis Baratheon,89,13,2.399455178,0.110139553,0.018051671
668,Steelskin,3,3,1.098612289,0,0.000324408
669,Steffon Baratheon,2,2,0,0,0.00025158
670,Steffon Varner,1,1,0,0,0.000484995
671,Stevron Frey,5,4,1.33217904,2.64E-06,0.000435193
672,Stiv,2,2,0.693147181,0,0.000257121
673,Stonesnake,4,3,1.039720771,2.11E-06,0.000514585
674,Stygg,3,2,1.098612289,4.22E-06,0.000497838
675,Styr,8,6,1.073542846,2.12E-05,0.001405197
676,Sweets,3,3,1.098612289,0,0.000393154
677,Sybell Spicer,6,4,1.329661349,0.002361903,0.000603267
678,Sybelle Glover,2,2,0.693147181,1.81E-05,0.00037011
679,Sylva Santagar,5,5,0.950270539,4.10E-05,0.000756735
680,Symon Silver Tongue,3,3,1.098612289,0,0.000325363
681,Symon Stripeback,2,2,0.693147181,0,0.00043394
682,Symond Templeton,5,4,0.500402424,3.78E-05,0.000651893
683,Syrio Forel,4,4,1.039720771,9.94E-06,0.00063575
684,Taena of Myr,12,8,1.676234939,0.000492062,0.001215846
685,Talbert Serry,1,1,0,0,0.000453024
686,Talea,2,2,0.693147181,0,0.000355607
687,Tallad,6,4,1.242453325,0.000844655,0.000546731
688,Tanda Stokeworth,7,6,1.475076311,2.31E-05,0.000707311
689,Tansy,6,6,1.560710409,0.000190475,0.000467736
690,Tarber,1,1,0,0,0.000474981
691,Tattered Prince,8,4,1.073542846,0.005877204,0.001280541
692,Ternesio Terys,2,2,0.693147181,0,0.000330469
693,Terrance Lynderly,3,2,1.098612289,0.002515723,0.0008394
694,Theobald,1,1,0,0,0.000264075
695,Theomore,2,2,0.693147181,0,0.000270385
696,Theon Greyjoy,66,12,2.307204332,0.111283318,0.013877295
697,Thistle,1,1,0,0,0.000406055
698,Thoren Smallwood,9,5,1.676987774,0.002560759,0.001151752
699,Thoros of Myr,9,7,1.58109375,0.000502707,0.001517948
700,Tickler,12,12,0.679193266,0,0.001448483
701,Timeon,4,4,0.693147181,2.86E-05,0.000555996
702,Timett,4,4,1.039720771,4.10E-06,0.000534884
703,Timoth,1,1,0,0,0.00023997
704,Tion Frey,1,1,0,0,0.00045581
705,Tobho Mott,1,1,0,0,0.000256745
706,Todder,4,4,1.039720771,0,0.000634487
707,Tom Barleycorn,1,1,0,0,0.000232452
708,Tom of Sevenstreams,9,6,1.58109375,0.000428688,0.001254658
709,Tomard,7,5,1.153741943,0.000146291,0.000682677
710,Tommen Baratheon,33,12,1.946915338,0.006251297,0.005535565
711,Torbert,1,1,0,0,0.000500465
712,Toregg,3,3,1.098612289,0,0.000423017
713,Torghen Flint,1,1,0,0,0.000442975
714,Torgon Greyiron,1,1,0,0,0.000250159
715,Tormund,15,6,1.767009191,0.005149821,0.00271543
716,Torrhen Karstark,3,2,0.636514168,5.23E-05,0.000400213
717,Torrhen Stark,2,2,0.693147181,0,0.000286139
718,Torwold Browntooth,1,1,0,0,0.000526955
719,Tregar,1,1,0,0,0.000227473
720,Tristifer Botley,3,3,0.636514168,0,0.000803304
721,Tristifer IV Mudd,1,1,0,0,0.000219491
722,Trystane Martell,2,2,0.693147181,6.41E-05,0.000380437
723,Tybero Istarion,3,3,1.098612289,0,0.000428926
724,Tycho Nestoris,3,3,1.098612289,0.000534001,0.000460313
725,Tyene Sand,9,5,1.676987774,0.00267653,0.001293676
726,Tyrion Lannister,122,13,2.466368473,0.162191096,0.03284906
727,Tysha,4,4,0.562335145,1.50E-05,0.000425077
728,Tytos Blackwood,5,3,1.33217904,0.000104712,0.000478893
729,Tywin Lannister,48,13,2.026165337,0.020669858,0.007644692
730,Ulf son of Umar,1,1,0,0,0.000260961
731,Ulmer,1,1,0,0,0.00022145
732,Umma,1,1,0,0,0.000253175
733,Unella,4,3,1.039720771,3.17E-06,0.000862194
734,Urswyck,1,1,0,0,0.000306083
735,Urzen,2,2,0.693147181,0,0.000353687
736,Utherydes Wayn,3,3,0.636514168,0,0.000408889
737,Val,9,6,1.522955068,0.000812097,0.001651056
738,Varamyr,6,3,1.242453325,0.007537665,0.001419966
739,Vardis Egen,6,4,1.560710409,0.000178986,0.000642911
740,Vargo Hoat,10,6,1.33217904,0.000684034,0.001091866
741,Varly,1,1,0,0,0.000227473
742,Varys,34,13,1.876820905,0.009201379,0.006229212
743,Vayon Poole,5,5,0.500402424,0,0.000468302
744,Victarion Greyjoy,24,5,1.856036234,0.036450737,0.006672877
745,Visenya Targaryen,2,2,0.693147181,0,0.000424507
