,id,value
209,all.degree3.peel4.pagerank3.diversity4.betweenness3,1.098612289
210,all.degree4.peel2.pagerank6.diversity4,1.804371619
213,all.degree3.peel4.pagerank4.diversity3.betweenness3,1.039720771
215,all.degree3.peel2.pagerank6.diversity4.betweenness2.betweenness3,0.693147181
217,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
218,all.degree3.peel3.pagerank4.diversity4,0.636514168
221,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
222,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
223,all.degree3.peel5.pagerank4.diversity5.betweenness2,1.560710409
224,all.degree4.peel3.pagerank2.diversity4.betweenness4,1.320888343
226,all.degree3.peel3.pagerank6.diversity2.betweenness4,0.636514168
227,all.degree4.peel2.pagerank3.diversity3.betweenness3,1.427061043
228,all.degree3.peel2,0.693147181
229,all.degree3.peel6.pagerank4.diversity3.betweenness4,0.79631164
231,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
232,all.degree3.peel4.pagerank3.diversity2.betweenness3,0.636514168
236,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
237,all.degree5.peel3.pagerank3.diversity3,2.029682547
238,all.degree3.peel4.pagerank3.diversity2.betweenness3,0.636514168
240,all.degree3.peel5.pagerank3.diversity3.betweenness3,1.054920168
242,all.degree4.peel2.pagerank3.diversity4.betweenness5,1.494175138
243,all.degree3.peel2.pagerank5.diversity5.betweenness2.betweenness3,0.693147181
244,all.degree4.peel2.pagerank4.diversity4,1.303092404
245,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
246,all.degree4.peel4.pagerank5.diversity3.betweenness5,1.351783994
247,all.degree3.peel5.pagerank3.diversity2.betweenness5,0.500402424
249,all.degree3.peel5.pagerank3.diversity5.betweenness5,1.549826046
250,all.degree3.peel5.pagerank4.diversity2.betweenness3,0.562335145
253,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
256,all.degree3.peel4.pagerank3.diversity4.betweenness4,1.098612289
257,all.degree3.peel6.pagerank3.diversity4.betweenness3,1.277034259
258,all.degree6.peel4.pagerank2,1.662755842
259,all.degree4.peel4.pagerank5.diversity3.betweenness3,1.337860678
260,all.degree3.peel5.pagerank3.diversity3.betweenness3,1.039720771
261,all.degree4.peel4.pagerank2.diversity2.betweenness4,0.73562194
263,all.degree3.peel4.pagerank3.diversity4.betweenness3,1.098612289
264,all.degree3.peel4.pagerank5.diversity3.betweenness5,1.039720771
266,all.degree3.peel5.pagerank3.diversity4.betweenness3,1.242453325
267,all.degree3.peel4.pagerank3.diversity2.betweenness3,0.636514168
268,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
270,all.degree3.peel3.pagerank4.diversity4.betweenness3,0.693147181
271,all.degree3.peel3.pagerank4.diversity4.betweenness3,0.693147181
272,all.degree4.peel5.pagerank3.diversity4.betweenness3,1.923068868
273,all.degree3.peel3.pagerank4.diversity4.betweenness3,0.693147181
274,all.degree3.peel4.pagerank6.diversity2,0.867563228
275,all.degree3.peel5.pagerank4.diversity4.betweenness3,1.329661349
277,all.degree3.peel4.pagerank3.diversity2.betweenness3,0.636514168
279,all.degree4.peel2.pagerank3.diversity3.betweenness3,1.386294361
280,all.degree4.peel3.pagerank4.diversity4.betweenness3,1.641734712
282,all.degree3.peel5.pagerank4.diversity4.betweenness3,1.329661349
285,all.degree4.peel2.pagerank3.diversity4.betweenness3,1.641734712
287,all.degree4.peel3.pagerank2.diversity5,1.386294361
288,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
290,all.degree3.peel4.pagerank3.diversity4.betweenness4,1.098612289
291,all.degree3.peel4.pagerank3.diversity2.betweenness3,0.636514168
292,all.degree3.peel3.pagerank5.diversity3.betweenness3,0.636514168
293,all.degree4.peel3.pagerank3.diversity4.betweenness3,1.798652206
295,all.degree4.peel4.pagerank2.diversity4.betweenness3,1.214889654
296,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
297,all.degree3.peel4.pagerank3.diversity5.betweenness5,1.386294361
298,all.degree3.peel5.pagerank3.diversity3.betweenness3,1.039720771
299,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
302,all.degree4.peel3.pagerank3.diversity5.betweenness3,1.906154747
303,all.degree5.peel3.pagerank4.diversity4.betweenness3,1.857200791
304,all.degree4.peel4.pagerank2.diversity4.betweenness5,1.120950393
306,all.degree4.peel4.pagerank6,1.641734712
307,all.degree3.peel4.pagerank4.diversity5.betweenness3,1.386294361
308,all.degree3.peel4.pagerank3.diversity4.betweenness3,1.098612289
309,all.degree3.peel2.pagerank6.diversity4.betweenness2.betweenness3,0.693147181
311,all.degree3.peel3.pagerank5.diversity4.betweenness2,1.039720771
313,all.degree4.peel3.pagerank3.diversity4.betweenness3,1.609437912
314,all.degree4.peel3.pagerank5.diversity5,2.019814992
315,all.degree3.peel5.pagerank3.diversity3.betweenness4,1.039720771
316,all.degree3.peel4.pagerank4.diversity3.betweenness4,1.039720771
317,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
321,all.degree3.peel6.pagerank2.diversity3.betweenness3,1.242453325
323,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
324,all.degree3.peel6.pagerank4.diversity4.betweenness5,1.153741943
325,all.degree3.peel3.pagerank5.diversity3.betweenness3,0.693147181
326,all.degree4.peel4.pagerank4.diversity4.betweenness4,1.424129917
327,all.degree5.peel4.pagerank3.diversity3.betweenness3,1.116485597
329,all.degree4.peel4.pagerank5.diversity2,0.720124881
330,all.degree4.peel4.pagerank2.diversity5.betweenness2,1.427061043
332,all.degree3.peel4.pagerank4.diversity4.betweenness3,1.33217904
336,all,2.398059966
337,all.degree3.peel5.pagerank3.diversity4.betweenness4,1.33217904
338,all.degree5.peel4.pagerank3.diversity3.betweenness5,1.274586732
339,all.degree3.peel5.pagerank4.diversity4.betweenness3,1.329661349
341,all.degree3.peel5.pagerank4.diversity5.betweenness4,1.609437912
342,all.degree4.peel3.pagerank3.diversity2.betweenness3,1.073542846
343,all.degree3.peel4.pagerank3.diversity4.betweenness3,1.098612289
344,all.degree3.peel4.pagerank3.diversity4.betweenness4,1.098612289
345,all.degree5.peel3.pagerank5,1.925892175
348,all.degree4.peel4.pagerank3.diversity4.betweenness3,1.778233306
